communityname,racepctblack,pctUrban,pctWPubAsst,PctPopUnderPov,PctHousOccup,PctSameHouse85,arsons,arsonsPerPop
Pierrecity,0.14,0.0,5.67,10.19,93.93,50.7,1.3862943611198906,21.84
Ramseyborough,0.77,100.0,0.88,2.46,93.81,62.27,0.0,0.0
CopperasCovecity,16.48,100.0,4.23,11.97,86.75,30.83,2.5649493574615367,41.45
Ketteringcity,0.72,100.0,3.36,4.17,96.32,55.35,2.995732273553991,31.87
GrandChutetown,0.21,77.35,2.45,3.39,97.26,45.46,0.0,0.0
Dumontborough,1.05,100.0,3.15,3.26,97.61,73.69,0.0,0.0
Novicity,0.78,100.0,2.4,3.26,93.67,43.78,1.6094379124341005,10.28
Xeniacity,13.68,0.0,10.69,15.49,97.03,51.89,0.6931471805599453,4.14
SouthPortlandcity,0.29,100.0,5.98,7.15,95.62,57.54,2.0794415416798357,30.95
Troycity,4.59,0.0,5.61,9.83,95.54,54.12,2.5649493574615367,58.55
Melrosecity,0.56,100.0,4.73,4.23,96.85,70.97,0.0,0.0
Berlintown,0.5,79.25,2.34,2.83,97.1,70.27,0.0,0.0
Fergusoncity,25.08,100.0,5.17,6.48,93.62,61.7,1.6094379124341005,17.56
Paradisetown,0.14,0.0,11.51,11.13,94.95,45.04,1.9459101490553132,22.62
Greenvillecity,35.16,100.0,8.39,17.72,91.11,46.79,3.295836866004329,43.37
Pullmancity,1.97,0.0,2.27,34.88,97.85,21.02,1.0986122886681098,8.67
Dickinsoncity,0.11,0.0,6.95,14.75,90.45,49.11,0.0,0.0
Nilescity,12.38,100.0,10.91,13.67,94.61,55.03,1.791759469228055,40.12
AgouraHillscity,1.17,100.0,1.58,3.53,95.42,41.68,1.0986122886681098,7.85
Greenvillecity,20.0,0.0,7.46,16.85,85.99,50.74,3.1354942159291497,95.42
Burlingamecity,0.97,100.0,2.15,4.69,95.47,51.8,2.302585092994046,32.39
Middletoncity,1.28,100.0,4.24,5.79,96.56,43.31,0.0,0.0
Branfordtown,1.19,97.11,2.46,3.52,89.33,54.13,0.0,0.0
Haddontownship,0.82,100.0,3.84,3.75,97.7,70.39,2.1972245773362196,51.75
Burkburnettcity,2.18,0.0,4.92,13.93,90.29,54.88,2.6390573296152584,123.99
Harrisburgcity,50.6,100.0,16.52,27.02,87.52,52.77,3.1354942159291497,40.49
Roycity,0.96,100.0,3.09,4.38,96.47,54.35,0.0,0.0
Buffalocity,30.65,100.0,18.69,25.62,89.78,55.86,6.075346031088684,138.93
Albanycity,54.99,100.0,15.66,27.52,91.25,49.34,1.0986122886681098,2.42
Lancastercity,29.83,100.0,4.59,10.06,91.2,47.29,3.4011973816621555,121.17
CapeCoralcity,1.01,97.8,3.19,5.91,86.26,34.49,2.0794415416798357,8.11
Lodiborough,2.89,100.0,3.76,6.12,94.68,61.89,0.6931471805599453,4.4
Detroitcity,75.67,100.0,26.14,32.41,91.23,59.82,7.106606137727303,122.23
Sarasotacity,16.22,100.0,5.56,13.25,84.61,45.21,3.218875824868201,43.45
BrooklynParkcity,4.94,100.0,6.45,7.52,95.87,48.74,2.8903717578961645,28.65
Dothancity,27.32,100.0,8.02,17.03,93.22,50.63,1.791759469228055,21.08
Visaliacity,1.47,100.0,13.96,17.62,96.16,39.57,2.6390573296152584,15.2
Highlandtown,0.24,100.0,2.78,3.6,98.16,70.42,1.6094379124341005,17.53
DelrayBeachcity,26.28,100.0,4.44,11.35,77.71,49.44,2.6390573296152584,25.09
Oxfordtown,0.6,67.12,7.31,4.51,96.5,66.13,1.3862943611198906,22.87
Andrewscity,2.4,0.0,6.13,16.11,89.1,49.64,0.0,0.0
Seguincity,12.27,0.0,12.37,27.8,88.86,56.34,1.0986122886681098,9.88
UniversalCitycity,5.81,100.0,1.69,7.94,90.17,41.56,1.0986122886681098,14.4
SierraVistacity,11.97,0.0,4.65,10.73,90.29,27.35,2.1972245773362196,20.2
MyrtleBeachcity,14.08,100.0,3.82,11.72,72.06,35.74,0.0,0.0
Hawthornecity,28.33,100.0,9.35,13.92,92.89,38.23,4.406719247264253,106.99
Savannahcity,51.31,100.0,11.99,22.61,88.39,48.21,3.784189633918261,29.96
Pennsvilletownship,0.5,95.71,4.04,6.1,96.38,65.21,1.0986122886681098,14.17
Melvindalecity,2.89,100.0,9.7,12.12,95.27,60.46,1.791759469228055,45.93
EdenPrairiecity,1.12,100.0,2.5,3.12,93.78,35.77,2.6390573296152584,26.86
Greenvillecity,34.1,100.0,8.85,26.64,94.26,36.36,2.1972245773362196,15.94
KeyWestcity,10.39,0.0,5.32,10.39,85.3,37.97,1.3862943611198906,11.97
SanJacintocity,1.19,100.0,15.74,15.96,87.98,35.98,0.0,0.0
Greenwichtown,2.13,86.54,2.38,3.02,94.37,59.84,1.9459101490553132,10.11
Sacramentocity,15.3,100.0,16.16,17.21,94.19,44.05,5.10594547390058,43.64
Lakelandcity,20.2,100.0,6.44,13.96,84.89,44.93,2.772588722239781,20.73
Scrantoncity,1.58,100.0,9.79,15.22,92.31,65.97,3.258096538021482,31.21
Centertownship,2.09,95.75,3.99,4.07,97.05,69.54,0.0,0.0
Joplincity,2.13,100.0,10.32,16.96,90.23,45.98,3.1780538303479458,53.16
Sparkscity,2.38,100.0,3.2,7.21,94.93,36.42,1.791759469228055,21.08
Colliervilletown,11.12,0.0,2.88,6.63,96.01,35.43,0.6931471805599453,5.04
CityofOrangetownship,70.33,100.0,11.73,17.8,94.01,58.04,3.218875824868201,78.91
SouthGatecity,1.67,100.0,12.2,17.44,97.74,46.49,3.367295829986474,30.31
FortWorthcity,22.01,99.9,6.18,17.42,86.55,45.85,6.040254711277414,91.02
Slidellcity,10.84,100.0,4.49,10.08,91.58,58.36,0.0,0.0
Scottsborocity,5.74,0.0,9.5,14.52,92.76,55.76,1.791759469228055,21.08
Yanktoncity,0.78,0.0,4.57,12.07,95.36,48.87,1.3862943611198906,21.81
Miramarcity,15.66,99.77,3.49,8.38,94.44,46.36,2.6390573296152584,26.68
Oceantownship,5.24,100.0,2.61,3.2,92.51,61.15,2.1972245773362196,30.51
Harvardtown,12.22,0.0,1.65,3.88,94.78,27.8,0.0,0.0
Okmulgeecity,23.93,0.0,12.36,33.39,83.16,53.82,2.0794415416798357,51.25
NewportBeachcity,0.35,100.0,2.07,5.67,88.52,42.18,3.713572066704308,56.32
Martinezcity,3.32,100.0,5.03,5.95,96.49,44.31,1.3862943611198906,9.13
Prattvillecity,13.94,100.0,5.63,11.42,95.0,51.21,1.3862943611198906,12.34
Montclairtownship,31.0,100.0,3.42,6.03,96.34,57.71,1.791759469228055,13.06
Hollandcity,1.0,100.0,7.69,12.82,94.74,45.57,2.1972245773362196,25.28
UpperArlingtoncity,0.25,100.0,1.81,1.38,97.08,61.07,2.1972245773362196,22.07
Hopkinsvillecity,29.0,0.0,11.34,21.77,93.18,49.51,2.8903717578961645,54.53
Glendoracity,1.12,100.0,5.34,4.96,96.75,54.46,2.0794415416798357,13.41
GreenRivercity,0.31,0.0,5.14,7.2,91.11,52.08,1.791759469228055,36.91
Sumptertownship,13.65,0.78,5.47,7.64,95.87,61.18,1.6094379124341005,35.75
Bellinghamtown,1.04,52.5,5.68,3.42,97.62,63.07,3.1354942159291497,143.58
FortDodgecity,3.29,0.0,7.79,12.83,93.67,55.29,1.791759469228055,21.08
MountOlivetownship,2.83,85.27,1.75,2.77,93.47,51.46,2.0794415416798357,31.75
Hanoverborough,0.15,0.0,5.53,8.35,95.38,57.47,2.3978952727983707,66.84
Nicevillecity,4.66,100.0,4.15,8.44,92.51,46.4,0.6931471805599453,8.3
Westlakecity,0.6,100.0,1.46,2.07,93.17,54.66,0.6931471805599453,3.28
Palatkacity,46.61,0.0,23.03,36.51,91.31,50.52,2.3978952727983707,89.84
Glendalecity,5.22,100.0,3.38,4.14,95.31,60.09,1.0986122886681098,15.03
Massilloncity,9.84,100.0,10.0,14.44,94.51,62.45,0.0,0.0
Wenatcheecity,0.22,0.0,9.64,18.89,95.06,43.84,2.0794415416798357,29.54
Roxburytownship,1.34,88.2,2.48,2.29,95.56,69.86,1.3862943611198906,14.18
Artesiacity,2.66,100.0,14.03,9.28,96.91,54.08,2.302585092994046,57.45
Cudahycity,0.57,100.0,5.84,6.26,97.36,61.88,0.6931471805599453,5.43
Urbanacity,6.99,0.0,8.87,11.61,94.47,52.71,1.0986122886681098,16.94
Burlingtoncity,22.56,100.0,5.9,9.9,93.96,57.39,2.4849066497880004,24.68
Hendersoncity,2.66,98.62,3.61,7.1,91.48,26.66,3.5263605246161616,30.81
Champlincity,0.39,100.0,2.08,2.34,98.03,45.21,1.791759469228055,24.1
Highlandcity,10.97,100.0,13.84,15.79,90.09,35.04,2.5649493574615367,30.45
Hyattsvillecity,31.63,100.0,4.11,6.62,95.95,50.18,1.791759469228055,21.08
SouthBendcity,20.9,100.0,8.37,14.37,92.36,55.93,4.143134726391533,58.48
Stuartcity,15.14,100.0,5.94,11.5,81.09,48.16,2.0794415416798357,54.77
LighthousePointcity,0.17,100.0,2.4,4.98,86.28,57.37,0.0,0.0
Southgatecity,1.18,100.0,3.58,4.62,96.99,64.4,2.70805020110221,47.04
Orangetown,0.83,100.0,1.83,2.32,97.29,75.95,1.6094379124341005,30.79
Moorestowntownship,5.73,88.97,2.21,2.91,96.43,58.64,1.6094379124341005,24.25
Rialtocity,20.35,100.0,12.49,12.12,91.85,41.23,3.610917912644224,42.89
Gastoniacity,24.88,100.0,9.19,14.19,94.54,54.77,3.49650756146648,53.21
Irvingtontownship,70.08,100.0,11.57,12.38,91.24,54.7,3.5263605246161616,53.28
Hobokencity,5.52,100.0,8.82,16.39,86.31,54.85,0.6931471805599453,2.98
Harlingencity,0.76,100.0,13.61,29.93,86.52,54.97,2.3978952727983707,17.68
ColonialHeightscity,0.8,100.0,3.08,5.71,96.53,58.53,0.6931471805599453,6.02
Oneidacity,0.65,0.0,7.29,9.97,95.32,57.62,1.791759469228055,21.08
Charlottesvilledistrict,12.12,91.0,3.09,6.51,94.23,32.33,2.772588722239781,36.43
Clarksvilletown,3.72,100.0,4.89,9.3,94.26,52.82,1.0986122886681098,9.18
Clintontown,1.91,0.0,7.66,7.48,94.41,55.8,0.6931471805599453,7.26
Chesterfieldcity,2.37,99.59,1.18,2.09,93.55,50.44,1.9459101490553132,14.92
Sayrevilleborough,3.23,100.0,3.02,3.1,95.52,63.34,1.9459101490553132,16.4
Genevacity,8.4,0.0,8.22,18.25,93.46,51.79,1.791759469228055,21.08
RoanokeRapidscity,17.29,0.0,10.58,18.64,93.81,52.59,1.0986122886681098,11.87
Dumascity,0.65,0.0,4.11,12.03,91.47,50.54,0.0,0.0
Winchestertown,0.97,100.0,2.47,2.63,96.32,66.84,0.0,0.0
WisconsinRapidscity,0.1,0.0,8.56,11.26,96.37,57.12,1.0986122886681098,10.81
Longviewcity,0.54,100.0,11.87,15.96,95.79,49.89,1.791759469228055,21.08
Bellmawrborough,0.93,100.0,3.96,4.34,97.7,71.18,1.6094379124341005,32.41
ParadiseValleytown,0.27,100.0,2.3,3.34,90.91,62.92,0.0,0.0
Lodicity,0.33,100.0,12.37,12.6,96.57,40.91,2.772588722239781,28.47
Troycity,33.74,0.0,14.47,30.22,90.95,47.54,0.6931471805599453,7.09
Stoughtontown,4.0,93.51,5.09,4.78,96.31,65.39,1.0986122886681098,7.25
Holmdeltownship,0.49,68.35,2.75,1.77,97.07,63.83,1.0986122886681098,16.58
NorthPlainfieldborough,5.19,100.0,2.99,3.66,94.31,55.52,1.6094379124341005,20.64
Beltoncity,2.34,100.0,3.95,6.79,93.27,42.12,1.3862943611198906,14.37
Warrensburgcity,7.81,0.0,5.9,25.93,91.61,25.01,1.0986122886681098,11.92
Richmondcity,9.18,0.0,10.61,20.51,91.95,48.92,4.248495242049359,176.23
Merrillvilletown,5.02,97.12,3.97,3.55,96.94,61.74,1.0986122886681098,7.17
Yeadonborough,66.07,100.0,7.23,5.47,95.52,63.09,1.791759469228055,41.27
BellefontaineNeighborscity,8.05,100.0,3.35,3.72,97.63,71.79,0.0,0.0
Stoningtontown,0.58,18.71,3.74,4.49,88.56,60.51,0.6931471805599453,5.94
SanFranciscocity,10.92,100.0,10.42,12.66,93.03,48.11,6.192362489474872,66.09
Covinacity,4.11,100.0,7.21,7.63,96.41,48.77,3.1354942159291497,49.03
Corvalliscity,1.18,0.0,3.83,20.97,96.74,29.99,3.295836866004329,55.24
SantaFeSpringscity,2.07,100.0,17.31,10.57,96.66,59.32,2.0794415416798357,42.76
Farmingtoncity,0.81,100.0,2.86,3.64,95.41,58.37,1.3862943611198906,29.01
Winslowtownship,22.95,68.24,4.41,7.35,92.79,53.73,2.4849066497880004,35.08
Meridentown,4.29,100.0,6.44,7.31,93.61,56.52,2.302585092994046,15.81
SantaMonicacity,4.51,100.0,4.76,9.35,93.94,52.78,4.927253685157205,156.6
Simsburytown,0.84,0.0,1.92,1.5,96.76,61.32,1.6094379124341005,18.14
Biddefordcity,0.3,0.0,8.9,11.47,87.9,56.28,3.4339872044851463,146.83
Oconomowoccity,0.04,0.0,2.7,3.58,96.41,53.16,0.6931471805599453,8.42
PalmBaycity,7.49,100.0,3.82,8.73,88.79,31.24,2.1972245773362196,10.49
Greshamcity,1.08,100.0,4.91,8.25,95.28,44.93,3.4011973816621555,36.25
Eriecity,12.04,100.0,12.93,19.3,92.75,57.84,4.1588830833596715,58.02
Provocity,0.26,99.98,4.87,29.56,96.85,28.99,2.3978952727983707,11.05
Lewistoncity,0.67,100.0,10.26,13.95,92.43,49.91,3.044522437723423,53.45
GrandRapidscity,18.54,100.0,10.72,16.12,93.64,48.95,4.382026634673881,41.26
VanWertcity,1.46,0.0,5.67,8.92,92.67,58.45,2.302585092994046,78.02
NortonShorescity,1.37,100.0,3.88,7.23,95.92,63.41,1.3862943611198906,13.52
Ithacacity,6.49,100.0,5.37,39.35,95.45,21.2,1.3862943611198906,10.28
Jacksonvillecity,26.68,100.0,6.49,11.89,92.43,35.75,2.1972245773362196,13.77
Vermilioncity,0.08,100.0,5.26,8.54,91.0,60.13,0.0,0.0
PembrokePinescity,5.26,99.75,2.63,5.08,90.44,41.18,2.4849066497880004,13.29
Westervillecity,1.72,100.0,1.82,2.75,96.99,47.14,2.8903717578961645,48.59
NorthAdamscity,1.3,0.0,13.12,14.33,91.65,53.72,0.0,0.0
Wallingtonborough,2.71,100.0,4.61,5.18,95.69,65.09,1.6094379124341005,37.95
Mequoncity,2.31,100.0,2.05,2.14,96.62,55.38,1.0986122886681098,9.24
Cumberlandcity,4.42,100.0,14.84,26.39,89.81,56.31,0.0,0.0
CottageGrovecity,1.16,97.95,3.65,2.63,96.5,60.94,0.6931471805599453,3.69
Berkeleycity,65.57,100.0,10.26,15.65,90.95,60.99,1.6094379124341005,31.24
Kingstoncity,10.11,0.0,10.13,11.76,92.0,55.04,1.791759469228055,21.08
Denvercity,12.84,99.99,7.61,17.13,88.03,46.26,6.089044875446846,86.98
GalenaParkcity,10.16,100.0,4.77,19.42,92.96,52.7,0.6931471805599453,9.6
Leicestertown,0.8,52.81,4.72,4.1,95.29,64.02,0.0,0.0
Moorecity,1.78,100.0,3.81,7.95,91.52,47.81,2.1972245773362196,18.67
Alamedacity,6.72,100.0,5.98,6.81,95.28,40.05,3.8501476017100584,58.18
BeaverDamcity,0.13,0.0,6.03,7.18,95.9,54.6,0.6931471805599453,6.69
Wallingfordtown,1.01,86.32,3.08,3.1,95.17,61.42,2.6390573296152584,31.45
Fairfieldcity,3.29,100.0,2.92,3.77,93.91,43.62,2.302585092994046,21.91
Millbraecity,1.15,100.0,2.44,5.4,97.24,59.1,1.3862943611198906,14.3
BossierCitycity,18.06,100.0,5.77,15.96,87.24,45.07,2.9444389791664403,32.87
Brainerdcity,0.32,0.0,12.54,21.03,94.78,47.17,1.3862943611198906,21.96
Lancastercity,12.24,100.0,13.56,20.93,94.31,45.03,3.4339872044851463,51.89
LakeCharlescity,41.64,100.0,11.65,23.57,89.85,55.31,2.70805020110221,19.21
Ashlandtown,1.9,85.86,4.0,1.92,95.56,55.14,0.0,0.0
Richlandtownship,1.11,73.08,4.55,7.54,96.16,63.21,1.3862943611198906,21.17
Arcadiacity,0.77,100.0,3.58,5.23,94.19,52.33,3.091042453358316,41.25
Miltontown,4.72,100.0,3.99,3.04,97.18,69.44,0.0,0.0
Wilsoncity,46.92,0.0,12.92,23.52,94.01,46.94,2.772588722239781,37.94
HighlandParkcity,2.57,100.0,1.48,2.83,96.39,63.01,0.6931471805599453,3.26
Indiocity,4.03,100.0,11.32,21.24,82.49,42.86,2.3978952727983707,25.22
Frederickcity,12.83,100.0,5.18,7.96,94.34,38.81,2.995732273553991,40.46
MercerIslandcity,1.44,100.0,1.27,2.3,96.23,55.15,2.0794415416798357,32.88
ForestParkcity,43.71,100.0,4.16,5.55,94.83,55.61,2.302585092994046,47.44
Logancity,0.59,100.0,4.61,21.65,96.45,33.84,0.6931471805599453,2.71
RockvilleCentrevillage,3.91,100.0,3.93,3.32,96.53,73.38,1.791759469228055,21.08
Mankatocity,0.69,0.0,7.26,25.16,95.99,35.35,1.3862943611198906,9.46
NewportNewscity,33.57,100.0,7.74,14.04,91.72,41.39,4.1588830833596715,34.82
AlexanderCitycity,28.05,0.0,8.59,17.07,93.11,58.85,0.0,0.0
Cranfordtownship,3.04,100.0,1.52,2.51,97.23,70.01,0.6931471805599453,4.31
Banningcity,9.5,0.0,18.38,16.86,89.77,41.35,4.499809670330265,178.53
LosBanoscity,2.69,0.0,17.34,19.4,94.12,51.15,0.0,0.0
Glasgowcity,8.69,0.0,18.36,24.71,92.92,51.99,0.0,0.0
Laurinburgcity,45.0,0.0,20.68,29.39,92.32,51.69,2.70805020110221,104.92
Portalescity,1.84,0.0,15.35,34.98,89.27,41.52,0.0,0.0
Romuluscity,21.83,100.0,12.05,12.94,95.39,59.29,2.4849066497880004,47.58
Beniciacity,5.32,100.0,5.31,5.43,96.05,41.99,1.9459101490553132,22.09
Medfordtownship,0.42,77.01,1.58,2.3,96.23,61.42,1.3862943611198906,14.28
MineralWellscity,5.14,0.0,10.95,23.17,87.02,49.07,3.258096538021482,167.52
Alhambracity,2.0,100.0,11.58,14.75,95.39,41.72,3.5263605246161616,38.9
NewAlbanycity,6.2,100.0,9.07,15.48,94.22,53.72,3.58351893845611,91.49
Annapoliscity,33.04,100.0,6.75,12.12,92.19,47.02,4.330733340286331,178.53
Whitewatercity,1.92,0.0,3.1,32.74,95.53,31.75,1.3862943611198906,21.77
Greercity,26.53,100.0,11.2,19.85,93.45,56.9,0.0,0.0
Millburntownship,1.2,100.0,2.17,1.94,97.2,66.9,0.0,0.0
Warwickcity,0.79,100.0,5.3,4.84,95.15,65.58,3.8918202981106265,56.0
Pepperelltown,0.79,0.0,4.0,3.98,96.58,55.6,0.0,0.0
EastBrunswicktownship,2.23,100.0,2.69,2.27,96.92,62.42,2.0794415416798357,15.43
FortSmithcity,7.68,100.0,5.25,13.8,89.69,48.19,3.1780538303479458,30.5
Bostoncity,25.59,100.0,11.94,18.71,91.07,47.82,1.791759469228055,21.08
SouthMilwaukeecity,0.32,100.0,4.21,5.01,97.54,61.91,2.9444389791664403,88.37
Glastonburytown,0.93,70.81,2.05,2.35,96.39,58.73,0.6931471805599453,3.58
Midvalecity,0.39,100.0,9.85,20.7,93.12,41.09,1.791759469228055,40.47
Bloomingtoncity,4.03,100.0,4.65,31.46,95.27,23.52,1.791759469228055,7.92
MountainViewcity,5.03,100.0,4.05,6.22,95.25,35.18,3.091042453358316,31.75
Allencity,3.25,99.17,1.82,3.09,95.51,37.73,1.3862943611198906,10.83
Madisoncity,4.24,100.0,5.16,16.05,96.64,38.27,4.04305126783455,28.55
Athenscity,19.72,0.0,9.62,21.95,87.4,45.79,0.6931471805599453,8.85
LincolnParkcity,0.92,100.0,7.2,8.53,96.98,64.78,2.70805020110221,34.42
Somersworthcity,0.73,100.0,6.4,6.75,92.69,46.85,1.6094379124341005,35.61
Ypsilanticity,25.13,100.0,10.86,29.47,91.74,32.43,3.1354942159291497,92.68
HazelCrestvillage,51.51,100.0,4.33,7.73,92.06,54.95,0.0,0.0
Braintreetown,0.6,100.0,5.13,4.1,97.74,73.34,1.791759469228055,14.35
Dovercity,1.37,0.0,6.14,7.46,95.74,60.16,0.0,0.0
CollegeParkcity,74.45,100.0,8.97,23.37,80.03,33.88,0.0,0.0
Elizabethcity,19.85,100.0,11.45,16.12,94.64,55.21,3.1780538303479458,21.53
Smyrnatown,6.75,0.0,6.55,10.96,91.04,36.34,1.791759469228055,29.2
Clarksvillecity,20.9,100.0,6.28,13.3,92.04,35.59,0.0,0.0
Ramseycity,0.13,100.0,3.12,2.04,98.53,62.52,1.0986122886681098,12.62
Patersoncity,36.01,100.0,13.05,18.54,95.25,54.62,4.736198448394496,81.29
Dovercity,30.92,100.0,7.13,12.45,94.42,40.15,2.4849066497880004,37.68
Ankenycity,0.39,0.0,2.49,5.63,96.75,42.6,1.791759469228055,21.08
SomersPointcity,4.07,100.0,2.5,6.25,86.68,51.97,0.6931471805599453,8.66
Orindacity,0.83,100.0,2.55,2.36,97.37,64.99,1.0986122886681098,11.43
Sheffieldcity,23.65,100.0,11.17,20.96,91.87,63.41,0.6931471805599453,9.65
Fontanacity,8.7,100.0,10.11,11.4,89.8,31.61,3.7612001156935624,40.28
Sunnysidecity,0.29,0.0,16.5,27.93,96.14,49.38,1.791759469228055,38.41
SpanishForkcity,0.01,0.0,4.31,7.55,96.79,60.85,0.6931471805599453,7.23
AuburnHillscity,9.61,100.0,6.11,7.38,91.29,39.73,1.791759469228055,26.33
Douglascity,44.43,0.0,18.58,26.24,90.31,52.0,1.6094379124341005,34.14
Germantownvillage,0.42,100.0,1.67,2.3,96.69,50.79,2.3978952727983707,61.12
Irmotown,10.93,100.0,2.38,2.34,96.76,41.81,0.0,0.0
Mitchellcity,0.16,0.0,7.67,14.51,93.68,54.57,1.6094379124341005,28.4
AppleValleycity,0.91,100.0,2.3,3.49,96.59,44.48,2.8903717578961645,42.33
Roseburgcity,0.22,0.0,6.66,14.7,95.72,38.51,2.772588722239781,83.49
Crestwoodcity,0.55,100.0,1.94,3.36,98.19,73.14,1.6094379124341005,35.52
HasbrouckHeightsborough,0.81,100.0,2.59,2.51,96.74,70.63,0.6931471805599453,8.49
LaGrandecity,0.75,0.0,7.78,18.98,94.34,42.63,1.3862943611198906,23.2
Kaukaunacity,0.06,100.0,5.85,7.67,98.0,63.66,0.0,0.0
Bellevuecity,2.23,100.0,2.87,5.58,95.53,44.2,3.737669618283368,47.88
RiverFallscity,0.63,0.0,6.35,14.69,97.19,33.16,1.3862943611198906,25.83
Milwaukiecity,0.64,100.0,4.55,8.35,96.7,50.8,1.791759469228055,24.07
Clemsoncity,12.22,0.0,1.35,28.65,95.42,36.22,0.0,0.0
Marlboroughcity,1.8,100.0,4.82,5.65,93.28,54.44,0.6931471805599453,2.99
Greenbeltcity,19.36,100.0,2.09,9.61,94.05,30.98,1.791759469228055,21.08
Stantoncity,2.27,100.0,8.22,13.62,95.83,41.64,3.5553480614894135,112.25
Florencetownship,7.02,85.47,4.44,6.77,95.81,64.61,0.6931471805599453,9.52
Harrisonburgcity,6.57,0.0,5.54,21.46,94.59,32.52,2.302585092994046,26.78
Trumbulltown,1.27,100.0,2.19,1.98,97.73,71.55,0.0,0.0
BatonRougecity,43.89,100.0,9.88,26.17,85.82,51.53,5.0689042022202315,68.99
RollingMeadowscity,1.6,100.0,2.04,3.26,95.96,53.62,1.3862943611198906,13.05
Watertowncity,0.07,0.0,4.84,13.44,92.29,49.23,1.0986122886681098,10.96
Springfieldcity,30.21,0.0,13.21,19.55,93.66,49.14,0.0,0.0
Marquettecity,2.83,0.0,7.84,16.57,96.67,43.99,1.0986122886681098,8.96
Miamitownship,1.09,82.6,2.95,4.3,96.49,52.36,2.0794415416798357,30.23
CentralFallscity,4.22,100.0,16.66,22.33,90.54,49.05,0.0,0.0
Reedleycity,0.39,0.0,14.48,22.42,96.91,45.21,1.3862943611198906,17.68
HotSpringscity,15.46,0.0,9.5,24.92,82.59,51.84,2.772588722239781,41.56
MapleShadetownship,5.61,100.0,2.75,2.77,93.41,54.08,2.833213344056216,81.37
Huntsvillecity,26.72,0.0,8.53,30.0,85.96,30.03,0.6931471805599453,3.39
Vidorcity,0.0,0.0,7.34,15.12,91.48,57.51,1.3862943611198906,25.93
Marshallcity,0.47,0.0,6.48,13.02,94.69,43.35,1.0986122886681098,16.25
Hobbscity,7.45,0.0,9.37,24.8,83.09,49.95,1.3862943611198906,9.91
SanMarinocity,0.25,100.0,1.1,3.88,96.37,64.62,1.6094379124341005,29.46
Auburncity,0.48,97.28,8.12,10.91,91.75,52.59,1.3862943611198906,12.83
Salemcity,4.48,100.0,3.32,5.16,95.34,51.52,2.302585092994046,36.79
FortMadisoncity,4.86,0.0,7.36,12.84,87.92,55.42,1.791759469228055,21.08
Inglewoodcity,51.88,100.0,11.32,16.47,93.26,45.42,4.110873864173311,54.23
Crawfordsvillecity,1.27,0.0,7.18,14.9,94.15,48.81,1.9459101490553132,41.69
Nilescity,1.96,100.0,7.84,12.66,95.15,63.0,0.0,0.0
SouthPasadenacity,3.11,100.0,3.39,5.0,95.46,48.73,3.871201010907891,178.53
Kinstoncity,57.78,0.0,15.04,25.16,92.25,56.75,3.091042453358316,81.8
GreenBaycity,0.47,100.0,8.46,13.39,96.62,51.17,2.302585092994046,8.69
Ellensburgcity,1.0,0.0,5.39,33.88,95.41,25.5,0.6931471805599453,7.29
Tulsacity,13.57,100.0,5.85,14.99,88.22,46.2,5.521460917862246,66.02
Piscatawaytownship,17.62,100.0,3.42,2.88,96.28,52.62,1.3862943611198906,6.11
Everettcity,3.17,100.0,8.59,9.6,94.24,63.89,0.0,0.0
Hudsontown,0.86,95.07,4.3,3.61,95.17,63.05,0.0,0.0
PortOrangecity,1.0,100.0,3.15,8.22,87.93,41.21,0.6931471805599453,2.49
Herndontown,9.65,100.0,1.71,3.19,94.12,31.02,1.0986122886681098,11.1
Gillettecity,0.18,0.0,3.94,9.69,88.17,40.09,2.9444389791664403,95.15
Manchestercity,0.97,100.0,5.86,8.99,90.93,49.01,3.367295829986474,28.53
BethelParkborough,1.04,100.0,1.75,3.81,97.65,67.85,1.0986122886681098,5.82
Aberdeentown,24.9,0.0,8.4,10.66,95.91,51.62,1.6094379124341005,29.51
Amesburytown,0.69,4.89,6.68,6.25,92.09,54.28,0.0,0.0
PoplarBluffcity,8.45,0.0,18.17,26.82,90.61,48.52,2.995732273553991,108.71
Uxbridgetown,0.35,60.25,6.44,5.87,95.21,58.35,0.0,0.0
Westminstercity,5.52,0.0,4.47,8.51,94.72,37.53,2.6390573296152584,88.94
Northboroughtown,0.75,80.58,3.27,2.82,97.08,60.61,0.6931471805599453,8.05
Springdalecity,13.64,100.0,3.6,4.01,95.71,50.89,0.6931471805599453,9.36
Garnertown,17.59,100.0,2.81,4.63,96.47,49.25,2.1972245773362196,45.93
PalosVerdesEstatescity,1.15,100.0,1.87,2.25,96.39,66.45,1.0986122886681098,14.27
Williamsportcity,6.71,100.0,12.82,21.12,94.46,51.44,2.70805020110221,43.88
Poquosoncity,0.76,100.0,1.54,2.84,96.89,53.05,1.0986122886681098,16.95
Muskegocity,0.08,100.0,2.92,2.66,96.6,58.45,0.6931471805599453,4.97
Goldencity,0.99,100.0,3.47,11.52,92.39,37.97,2.5649493574615367,83.73
Coppellcity,2.29,0.0,0.64,2.51,93.64,28.76,1.0986122886681098,8.04
GrossePointeWoodscity,0.07,100.0,2.04,1.74,98.34,70.61,0.0,0.0
Pomonacity,14.43,100.0,13.01,18.43,94.74,40.16,5.966146739123692,178.53
