Variable,Type,Community,Value,Z-Score,Classification
OwnOccQrange,count,MercerIslandcity,247900.0,4.8923004220288515,Rare but real
robbbPerPop,ratio,CityofOrangetownship,1308.52,4.889099540680686,Rare but real
rapes,count,Minneapoliscity,518.0,4.885239256860816,Rare but real
assaultPerPop,ratio,Greenwoodcity,2510.87,4.882681211666307,Rare but real
larcenies,count,Philadelphiacity,39181.0,4.878304017908036,Rare but real
larcenies,count,Seattlecity,39176.0,4.877645592945593,Rare but real
rapes,count,Indianapoliscity,517.0,4.8753084963203115,Rare but real
murdPerPop,ratio,Camdencity,50.42,4.867489368191076,Rare but real
autoTheftPerPop,ratio,Tampacity,2922.91,4.857072001721607,Rare but real
rapes,count,KansasCitycity,515.0,4.855446975239304,Rare but real
rapes,count,OklahomaCitycity,515.0,4.855446975239304,Rare but real
PctFam2Par,percentage,HighlandParkcity,22.97,4.854731038232128,Rare but real
ViolentCrimesPerPop,ratio,Spartanburgcity,3414.57,4.852368804992989,Rare but real
PctNotSpeakEnglWell,percentage,Pharrcity,22.83,4.852027498290754,Rare but real
PctWOFullPlumb,percentage,SouthKingstowntown,2.49,4.8457299929315445,Rare but real
PctWOFullPlumb,percentage,HazelParkcity,2.49,4.8457299929315445,Rare but real
PctWOFullPlumb,percentage,Juneaucity,2.49,4.8457299929315445,Rare but real
PctWOFullPlumb,percentage,Eufaulacity,2.49,4.8457299929315445,Rare but real
murdPerPop,ratio,Atlantacity,50.21,4.844550485522342,Rare but real
nonViolPerPop,ratio,Bellinghamcity,17859.42,4.839989909238767,Rare but real
OwnOccQrange,count,ParadiseValleytown,245801.0,4.838614357549523,Rare but real
PctVacantBoarded,percentage,DelCitycity,20.13,4.83114707680848,Rare but real
PctFam2Par,percentage,BentonHarborcity,23.22,4.8309748538696775,Rare but real
PctHousOccup,percentage,NewSmyrnaBeachcity,68.6,4.8285545085366275,Rare but real
PersPerFam,ratio,HuntingtonParkcity,4.29,4.820770984671592,Rare but real
PersPerRentOccHous,ratio,BaldwinParkcity,4.25,4.8066863208496295,Rare but real
autoTheftPerPop,ratio,Harveycity,2896.35,4.80439967839469,Rare but real
OwnOccQrange,count,Pasadenacity,244400.0,4.802781019609771,Rare but real
PctWOFullPlumb,percentage,Brawleycity,2.47,4.798791774793309,Rare but real
PctHousNoPhone,percentage,BentonHarborcity,23.88,4.792994625335641,Rare but real
assaultPerPop,ratio,LittleRockcity,2470.95,4.79133207125012,Rare but real
PctRecentImmig,percentage,Rosemeadcity,8.74,4.789298666999136,Rare but real
PctUsePubTrans,percentage,Winnetkavillage,26.56,4.788232187545574,Rare but real
robbbPerPop,ratio,Washingtoncity,1282.85,4.779580356968333,Rare but real
PersPerFam,ratio,SantaAnacity,4.28,4.779223448102365,Rare but real
PctLargHouseFam,percentage,Commercecity,23.51,4.777542358225948,Rare but real
PctRecentImmig,percentage,SanFernandocity,8.72,4.776762673054955,Rare but real
arsonsPerPop,ratio,Ecorsecity,215.48,4.776002275164819,Rare but real
rapes,count,FortWorthcity,507.0,4.776000890915271,Rare but real
murdPerPop,ratio,Baltimorecity,49.56,4.77354918202388,Rare but real
ViolentCrimesPerPop,ratio,Homesteadcity,3364.91,4.767727660603863,Rare but real
robbbPerPop,ratio,Chicagocity,1279.69,4.76609844732552,Rare but real
PctNotSpeakEnglWell,percentage,Commercecity,22.46,4.7641293431730904,Rare but real
PctHousOccup,percentage,LittleEggHarbortownship,68.97,4.755135951911202,Rare but real
racePctHisp,percentage,DelRiocity,77.18,4.746144886058841,Rare but real
autoTheftPerPop,ratio,HighlandParkcity,2866.49,4.745182977545978,Rare but real
PctVacantBoarded,percentage,Coatesvillecity,19.81,4.742049928068478,Rare but real
PersPerFam,ratio,LaPuentecity,4.27,4.737675911533134,Rare but real
burglPerPop,ratio,Homesteadcity,4646.58,4.737662374030083,Rare but real
PctHousNoPhone,percentage,SanBenitocity,23.63,4.731828832240388,Rare but real
racePctHisp,percentage,McAllencity,76.97,4.731748049991305,Rare but real
PctNotSpeakEnglWell,percentage,MontereyParkcity,22.32,4.730870581777217,Rare but real
PctHousOccup,percentage,Hallandalecity,69.1,4.729340242826595,Rare but real
racePctWhite,percentage,HighlandParkcity,6.39,4.7266557536087435,Rare but real
PctRecentImmig,percentage,SanGabrielcity,8.62,4.714082703334045,Rare but real
PctUnemployed,percentage,Detroitcity,19.67,4.706364563886654,Rare but real
larcenies,count,SanDiegocity,37862.0,4.704611512815797,Rare but real
PersPerRentOccHous,ratio,SanFernandocity,4.21,4.704571868517971,Rare but real
PersPerRentOccHous,ratio,Comptoncity,4.21,4.704571868517971,Rare but real
larcPerPop,ratio,MyrtleBeachcity,12274.59,4.686181921067617,Rare but real
PctNotSpeakEnglWell,percentage,SanJuancity,22.13,4.6857336913113885,Rare but real
burglaries,count,Memphiscity,15314.0,4.6811540102391005,Rare but real
PctLargHouseFam,percentage,Rosemeadcity,23.14,4.680005887256973,Rare but real
PersPerRentOccHous,ratio,Lynwoodcity,4.2,4.679043255435056,Rare but real
PersPerRentOccHous,ratio,SantaAnacity,4.2,4.679043255435056,Rare but real
arsonsPerPop,ratio,Annapoliscity,211.74,4.678809296349605,Rare but real
racePctWhite,percentage,EastOrangecity,7.21,4.676702580018741,Rare but real
racePctWhite,percentage,BentonHarborcity,7.26,4.673656654799839,Rare but real
PctWOFullPlumb,percentage,EaglePasscity,2.41,4.6579771203785985,Rare but real
racepctblack,percentage,Detroitcity,75.67,4.657061107989218,Rare but real
assaults,count,Atlantacity,9541.0,4.6504341616872775,Rare but real
racePctAsian,percentage,Arcadiacity,23.45,4.645779269557631,Rare but real
larcPerPop,ratio,HarperWoodscity,12187.98,4.640588814280549,Rare but real
autoTheftPerPop,ratio,Detroitcity,2813.71,4.640512600091357,Rare but real
racePctHisp,percentage,UnionCitycity,75.62,4.639196960985722,Rare but real
PctLargHouseFam,percentage,Pharrcity,22.95,4.629919591353988,Rare but real
rapes,count,Atlantacity,492.0,4.627039482807711,Rare but real
autoTheft,count,Phoenixcity,15566.0,4.623255451090183,Rare but real
burglaries,count,Jacksonvillecity,15127.0,4.62100526191394,Rare but real
PctVacantBoarded,percentage,Detroitcity,19.37,4.619541348550975,Rare but real
burglaries,count,Philadelphiacity,15117.0,4.617788751308316,Rare but real
PctLargHouseFam,percentage,EastPaloAltocity,22.89,4.614102866331992,Rare but real
PctUsePubTrans,percentage,MountVernoncity,25.7,4.613143900666343,Rare but real
PersPerFam,ratio,SanFernandocity,4.24,4.613033301825452,Rare but real
PersPerFam,ratio,ElMontecity,4.24,4.613033301825452,Rare but real
racepctblack,percentage,Fairfieldcity,75.02,4.611427666282062,Rare but real
PctWOFullPlumb,percentage,Missioncity,2.39,4.611038902240361,Rare but real
ViolentCrimesPerPop,ratio,Selmacity,3268.26,4.602996154256522,Rare but real
PctUsePubTrans,percentage,AtlanticCitycity,25.65,4.602964349103598,Rare but real
assaults,count,Dallascity,9439.0,4.598964845579837,Rare but real
racePctHisp,percentage,LaPuentecity,74.86,4.58709412569369,Rare but real
PctUsePubTrans,percentage,EastOrangecity,25.57,4.586677066603204,Rare but real
PctPersDenseHous,percentage,Donnacity,29.78,4.581666685276709,Rare but real
ViolentCrimesPerPop,ratio,LittleRockcity,3255.71,4.581605772418352,Rare but real
PersPerRentOccHous,ratio,Maywoodcity,4.16,4.576928803103398,Rare but real
OwnOccQrange,count,Millburntownship,235401.0,4.572613847504257,Rare but real
PersPerFam,ratio,PleasantGrovecity,4.23,4.5714857652562255,Rare but real
racepctblack,percentage,CollegeParkcity,74.45,4.571410648169634,Rare but real
PctNotSpeakEnglWell,percentage,Laredocity,21.64,4.5693280264258345,Rare but real
medIncome,monetary,Westontown,95134.0,4.556020100214501,Rare but real
PctPersDenseHous,percentage,Indiocity,29.63,4.554870766010194,Rare but real
ViolentCrimesPerPop,ratio,Richmondcity,3239.2,4.5534659155141135,Rare but real
PctUnemployed,percentage,Douglascity,19.22,4.550922244730117,Rare but real
racePctAsian,percentage,Cupertinocity,23.01,4.547407620673312,Rare but real
PctVacantBoarded,percentage,Orangecity,19.11,4.547149915199722,Rare but real
ViolentCrimesPerPop,ratio,Tampacity,3235.45,4.547074367156095,Rare but real
PctRecentImmig,percentage,MiamiBeachcity,8.35,4.544846785087592,Rare but real
assaultPerPop,ratio,Atlantacity,2359.67,4.536689477424638,Rare but real
racePctWhite,percentage,WarrensvilleHeightscity,9.51,4.536590019949221,Rare but real
racePctAsian,percentage,Vallejocity,22.95,4.533993304916358,Rare but real
arsonsPerPop,ratio,PalmSpringscity,205.85,4.525743348429387,Rare but real
rapes,count,Bostoncity,480.0,4.507870356321662,Rare but real
racePctAsian,percentage,Stocktoncity,22.8,4.500457515523976,Rare but real
OwnOccQrange,count,Princetonborough,232500.0,4.498415051384899,Rare but real
rapes,count,Portlandcity,479.0,4.497939595781158,Rare but real
PctPersDenseHous,percentage,Pharrcity,29.29,4.494133349006094,Rare but real
PctImmigRec5,percentage,Searcycity,76.16,4.492321050762905,Rare but real
PersPerFam,ratio,Centervillecity,4.21,4.488390692117767,Rare but real
autoTheftPerPop,ratio,Paramusborough,2734.25,4.482931921945389,Rare but real
PctNotSpeakEnglWell,percentage,Indiocity,21.27,4.481429871308169,Rare but real
PctUsePubTrans,percentage,WestNewYorktown,25.05,4.4808097303506464,Rare but real
burglPerPop,ratio,LaCanadaFlintridgecity,4450.57,4.480668916778603,Rare but real
PctUnemployed,percentage,EaglePasscity,19.01,4.4783824957904015,Rare but real
racePctHisp,percentage,WestNewYorktown,73.26,4.477403946131518,Rare but real
racePctWhite,percentage,Comptoncity,10.58,4.471407220264706,Rare but real
robbbPerPop,ratio,Oaklandcity,1209.17,4.465230008081457,Rare but real
burglPerPop,ratio,Palatkacity,4438.06,4.464266752857293,Rare but real
PctPersDenseHous,percentage,NationalCitycity,29.07,4.4548326674152054,Rare but real
robbbPerPop,ratio,BentonHarborcity,1206.73,4.454819925952196,Rare but real
OwnOccQrange,count,Holmdeltownship,230701.0,4.452402078541492,Rare but real
PctHousOccup,percentage,TwentyninePalms-MorongoValle,70.5,4.451540298838504,Rare but real
racePctHisp,percentage,Sangercity,72.86,4.449981401240975,Rare but real
PctUsePubTrans,percentage,Newarkcity,24.89,4.4482351653498595,Rare but real
burglaries,count,SanDiegocity,14583.0,4.446027084968016,Rare but real
racePctAsian,percentage,Westminstercity,22.55,4.444564533203339,Rare but real
racePctAsian,percentage,ElCerritocity,22.54,4.442328813910513,Rare but real
assaultPerPop,ratio,Opelikacity,2315.8,4.4363015317819,Rare but real
racePctHisp,percentage,Pecoscity,72.66,4.4362701287957025,Rare but real
racePctHisp,percentage,Alicecity,72.59,4.431471183439858,Rare but real
robbbPerPop,ratio,Inglewoodcity,1201.21,4.431269248348293,Rare but real
burglPerPop,ratio,Blythevillecity,4409.25,4.42649326424235,Rare but real
racePctHisp,percentage,ElMontecity,72.49,4.424615547217222,Rare but real
PctNotSpeakEnglWell,percentage,Passaiccity,21.03,4.424414851772388,Rare but real
PctVacantBoarded,percentage,Prichardcity,18.63,4.413504192089719,Rare but real
larcenies,count,Austincity,35647.0,4.412929254453926,Rare but real
autoTheftPerPop,ratio,Humblecity,2697.84,4.410725623288271,Rare but real
autoTheftPerPop,ratio,Hamtramckcity,2696.83,4.408722647137661,Rare but real
racepctblack,percentage,Petersburgcity,72.13,4.408534363922554,Rare but real
PersPerFam,ratio,SouthGatecity,4.19,4.405295618979314,Rare but real
autoTheftPerPop,ratio,Bridgeporttown,2695.09,4.405271975353443,Rare but real
PctHousOccup,percentage,Clearlakecity,70.8,4.392011739412485,Rare but real
PctPersDenseHous,percentage,Brownsvillecity,28.68,4.385163277322267,Rare but real
nonViolPerPop,ratio,MyrtleBeachcity,16628.13,4.3805939938829335,Rare but real
assaults,count,Washingtoncity,9003.0,4.378958749277442,Rare but real
robbbPerPop,ratio,Gardenacity,1188.9,4.378749530720749,Rare but real
PctVacantBoarded,percentage,Weslacocity,18.5,4.377308475414093,Rare but real
robbbPerPop,ratio,Harveycity,1188.25,4.375976353104347,Rare but real
PctLargHouseFam,percentage,Pomonacity,21.98,4.374215870165059,Rare but real
PctLargHouseFam,percentage,Brownsvillecity,21.96,4.368943628491059,Rare but real
PersPerFam,ratio,Bellcity,4.18,4.3637480824100825,Rare but real
PctRecentImmig,percentage,UnionCitycity,8.05,4.356806875924867,Rare but real
PctUsePubTrans,percentage,Darientown,24.42,4.352547380660047,Rare but real
PctUsePubTrans,percentage,Cambridgecity,24.42,4.352547380660047,Rare but real
PctRecentImmig,percentage,Ryecity,8.04,4.350538878952775,Rare but real
robbbPerPop,ratio,Hawthornecity,1182.19,4.350121804865281,Rare but real
PctHousOccup,percentage,Barnstabletown,71.04,4.3443888918716675,Rare but real
PctUsePubTrans,percentage,Maldencity,24.37,4.342367829097301,Rare but real
PctPopUnderPov,percentage,Mercedescity,48.82,4.326318454209651,Rare but real
racePctHisp,percentage,Harlingencity,71.02,4.323837694744476,Rare but real
PersPerFam,ratio,Oremcity,4.17,4.322200545840856,Rare but real
robbbPerPop,ratio,NewYorkcity,1174.95,4.319232872645669,Rare but real
PctRecentImmig,percentage,Lynwoodcity,7.99,4.31919889409232,Rare but real
medIncome,monetary,NewCanaantown,91951.0,4.318865937061196,Rare but real
PctVacantBoarded,percentage,BossierCitycity,18.29,4.318838471553467,Rare but real
murdPerPop,ratio,Alexandriacity,45.39,4.318048511887589,Rare but real
racePctAsian,percentage,FosterCitycity,21.98,4.317128533512286,Rare but real
RentQrange,count,FortLeeborough,565.0,4.316575709125923,Rare but real
PctNotSpeakEnglWell,percentage,BaldwinParkcity,20.56,4.312760438514813,Rare but real
PctHousOccup,percentage,Narragansetttown,71.2,4.312640326844458,Rare but real
robbbPerPop,ratio,Bridgeporttown,1172.43,4.308481476348235,Rare but real
PctNotSpeakEnglWell,percentage,Paramountcity,20.54,4.308009186886832,Rare but real
PctWOFullPlumb,percentage,Lamesacity,2.26,4.305940484341822,Rare but real
racePctHisp,percentage,BaldwinParkcity,70.75,4.3053274769433605,Rare but real
PctRecentImmig,percentage,LosAngelescity,7.96,4.300394903176048,Rare but real
racePctAsian,percentage,Torrancecity,21.86,4.290299901998381,Rare but real
OwnOccQrange,count,LosAngelescity,224300.0,4.288683880003054,Rare but real
murdPerPop,ratio,Bridgeporttown,45.09,4.285278679503684,Rare but real
autoTheftPerPop,ratio,MiamiBeachcity,2634.14,4.284399305670624,Rare but real
ViolentCrimesPerPop,ratio,Baltimorecity,3081.26,4.284270942803312,Rare but real
racepctblack,percentage,CityofOrangetownship,70.33,4.282164833041199,Rare but real
pctWPubAsst,percentage,Camdencity,26.92,4.281205260294413,Rare but real
PersPerFam,ratio,Laredocity,4.16,4.280653009271629,Rare but real
racePctHisp,percentage,Lynwoodcity,70.33,4.27653380480829,Rare but real
racePctHisp,percentage,Uvaldecity,70.31,4.275162677563763,Rare but real
PersPerRentOccHous,ratio,Donnacity,4.04,4.27058544610842,Rare but real
larcenies,count,SanFranciscocity,34558.0,4.2695242976340255,Rare but real
racepctblack,percentage,Irvingtontownship,70.08,4.2646135093076785,Rare but real
murdPerPop,ratio,SanBernardinocity,44.9,4.26452445232721,Rare but real
autoTheftPerPop,ratio,NorthMiamicity,2623.29,4.262882185636849,Rare but real
racepctblack,percentage,MuskegonHeightscity,69.94,4.254784768016906,Rare but real
PctVacantBoarded,percentage,Lawrencecity,18.04,4.24923132410034,Rare but real
assaultPerPop,ratio,Saginawcity,2233.8,4.24866051188893,Rare but real
PctPersDenseHous,percentage,EastPaloAltocity,27.9,4.24582449713639,Rare but real
murdPerPop,ratio,Birminghamcity,44.69,4.241585569658476,Rare but real
PctNotSpeakEnglWell,percentage,Donnacity,20.26,4.2414916640950855,Rare but real
PersPerFam,ratio,Commercecity,4.15,4.239105472702401,Rare but real
PersPerFam,ratio,Donnacity,4.15,4.239105472702401,Rare but real
OwnOccQrange,count,Radnortownship,222300.0,4.23752993576358,Rare but real
PctLargHouseFam,percentage,Delanocity,21.46,4.2371375866410945,Rare but real
nonViolPerPop,ratio,Palatkacity,16233.94,4.233521187416448,Rare but real
PctUnemployed,percentage,Flintcity,18.29,4.229674785139944,Rare but real
ViolentCrimesPerPop,ratio,Washingtoncity,3048.38,4.228229846800202,Rare but real
OwnOccQrange,count,HighlandParkcity,221900.0,4.227299146915685,Rare but real
ViolentCrimesPerPop,ratio,SanBernardinocity,3047.66,4.227002669515462,Rare but real
PctUnemployed,percentage,MuskegonHeightscity,18.28,4.226220511380911,Rare but real
OwnOccQrange,count,Warrentownship,221800.0,4.2247414497037115,Rare but real
racePctAsian,percentage,Delanocity,21.54,4.2187568846279655,Rare but real
PctHousOccup,percentage,CathedralCitycity,71.69,4.215410346448627,Rare but real
murdPerPop,ratio,SanPablocity,44.42,4.212092720512961,Rare but real
PctWOFullPlumb,percentage,CopperasCovecity,2.22,4.21206404806535,Rare but real
PctHousNoPhone,percentage,Mercedescity,21.5,4.210696275068822,Rare but real
OwnOccQrange,count,SouthPasadenacity,221101.0,4.206863146192015,Rare but real
PctLargHouseFam,percentage,Laredocity,21.34,4.205504136597104,Rare but real
pctWPubAsst,percentage,RiverRougecity,26.54,4.20034170054723,Rare but real
rapes,count,Cincinnaticity,449.0,4.200016779566037,Rare but real
PersPerFam,ratio,WestJordancity,4.14,4.197557936133171,Rare but real
PersPerFam,ratio,Pharrcity,4.14,4.197557936133171,Rare but real
racePctWhite,percentage,Harveycity,15.08,4.1972739505634715,Rare but real
racePctHisp,percentage,Brawleycity,69.1,4.19220947926987,Rare but real
robbbPerPop,ratio,SanFranciscocity,1144.95,4.19124005958098,Rare but real
NumInShelters,count,Atlantacity,2431.0,4.1906373598815465,Rare but real
arsonsPerPop,ratio,Ridgecrestcity,192.93,4.189985785249555,Rare but real
racePctAsian,percentage,LomaLindacity,21.41,4.189692533821234,Rare but real
racePctHisp,percentage,ElPasocity,69.02,4.1867249702917615,Rare but real
robbbPerPop,ratio,SanPablocity,1143.81,4.186376332684521,Rare but real
pctWSocSec,percentage,Tamaraccity,61.12,4.185158756243954,Rare but real
PctRecentImmig,percentage,SouthGatecity,7.77,4.181302960706321,Rare but real
nonViolPerPop,ratio,MiamiBeachcity,16092.17,4.180626614310197,Rare but real
PctUsePubTrans,percentage,Fairviewborough,23.57,4.179495004093366,Rare but real
OwnOccQrange,count,Glendalecity,220000.0,4.178702899888185,Rare but real
PctUnemployed,percentage,Donnacity,18.14,4.177860678754433,Rare but real
assaultPerPop,ratio,HighlandParkcity,2196.98,4.164405117346745,Rare but real
PersPerFam,ratio,Brownsvillecity,4.13,4.156010399563944,Rare but real
PctNotSpeakEnglWell,percentage,PerthAmboycity,19.9,4.1559691347914125,Rare but real
racePctAsian,percentage,SouthPasadenacity,21.25,4.153921025136026,Rare but real
PctUsePubTrans,percentage,Yeadonborough,23.44,4.153028170030226,Rare but real
assaultPerPop,ratio,Vernoncity,2191.73,4.1523915154633535,Rare but real
OwnOccQrange,count,Brooklinetown,218901.0,4.150593807528593,Rare but real
rapes,count,Phoenixcity,444.0,4.1503629768635175,Rare but real
assaults,count,Baltimorecity,8548.0,4.149365231347191,Rare but real
rapesPerPop,ratio,Lebanoncity,170.98,4.146992496893761,Rare but real
PctHousOccup,percentage,MyrtleBeachcity,72.06,4.141991789823202,Rare but real
PctVacantBoarded,percentage,Shreveportcity,17.65,4.140644174073462,Rare but real
PctHousOccup,percentage,Hulltown,72.07,4.140007504509003,Rare but real
murdPerPop,ratio,Annistoncity,43.76,4.139999089268368,Rare but real
rapesPerPop,ratio,Beaumontcity,170.67,4.137511801058916,Rare but real
OwnOccQrange,count,Englewoodcity,218200.0,4.132664350072657,Rare but real
medIncome,monetary,Darientown,89395.0,4.128427344218015,Rare but real
racePctHisp,percentage,Indiocity,68.13,4.125709807910303,Rare but real
racePctWhite,percentage,Garycity,16.31,4.122344190178468,Rare but real
pctWSocSec,percentage,Hallandalecity,60.59,4.121255070742242,Rare but real
PctImmigRec5,percentage,Rexburgcity,71.53,4.119161262407884,Rare but real
arsonsPerPop,ratio,Perriscity,190.11,4.116701239725784,Rare but real
nonViolPerPop,ratio,Daniacity,15920.01,4.116393492309969,Rare but real
ViolentCrimesPerPop,ratio,Prichardcity,2982.31,4.1156192867963854,Rare but real
pctWPubAsst,percentage,Detroitcity,26.14,4.115222163971248,Rare but real
PersPerFam,ratio,AmericanForkcity,4.12,4.114462862994716,Rare but real
PctUsePubTrans,percentage,Yonkerscity,23.23,4.110274053466694,Rare but real
PctVacantBoarded,percentage,NewOrleanscity,17.54,4.110017029194086,Rare but real
ViolentCrimesPerPop,ratio,BatonRougecity,2978.69,4.109449312114778,Rare but real
OwnOccQrange,count,SierraMadrecity,217200.0,4.1070873779529204,Rare but real
PctWOFullPlumb,percentage,TwentyninePalms-MorongoValle,2.17,4.094718502719758,Rare but real
OwnOccQrange,count,WestHollywoodcity,216700.0,4.094298891893052,Rare but real
PctNotSpeakEnglWell,percentage,Weslacocity,19.62,4.0894516119996664,Rare but real
racePctHisp,percentage,Montebellocity,67.6,4.0893749359303335,Rare but real
PctUnemployed,percentage,Prichardcity,17.87,4.084595287260512,Rare but real
larcPerPop,ratio,Palatkacity,11122.09,4.07948459313671,Rare but real
OwnOccQrange,count,AgouraHillscity,216100.0,4.07895270862121,Rare but real
racePctHisp,percentage,SantaFeSpringscity,67.37,4.073606972618271,Rare but real
PersPerFam,ratio,SanJuancity,4.11,4.072915326425489,Rare but real
ViolentCrimesPerPop,ratio,Lynwoodcity,2956.98,4.072446508154087,Rare but real
PctVacantBoarded,percentage,Washingtoncity,17.4,4.071037026620336,Rare but real
rapesPerPop,ratio,Clevelandcity,168.46,4.069923614623415,Rare but real
arsonsPerPop,ratio,SouthPasadenacity,188.27,4.068884373142898,Rare but real
PctUnemployed,percentage,Saginawcity,17.82,4.06732391846534,Rare but real
assaultPerPop,ratio,Mansfieldcity,2154.38,4.066923319207227,Rare but real
PersPerRentOccHous,ratio,Rosemeadcity,3.96,4.066356541445102,Rare but real
racePctAsian,percentage,Marinacity,20.84,4.0622565341301815,Rare but real
PctRecentImmig,percentage,WestNewYorktown,7.58,4.062211018236595,Rare but real
rapes,count,LasVegascity,435.0,4.060986131998981,Rare but real
PctPersDenseHous,percentage,Miamicity,26.86,4.060039456888553,Rare but real
PctLargHouseFam,percentage,WestJordancity,20.78,4.057881369725145,Rare but real
PctRecentImmig,percentage,Stantoncity,7.57,4.055943021264504,Rare but real
racePctWhite,percentage,Inglewoodcity,17.4,4.05594302040639,Rare but real
PctLargHouseFam,percentage,PicoRiveracity,20.77,4.055245248888145,Rare but real
racepctblack,percentage,Atlantacity,67.07,4.053295571556079,Rare but real
PctLargHouseFam,percentage,Oxnardcity,20.74,4.047336886377146,Rare but real
RentQrange,count,Pembroketown,542.0,4.046579724540036,Rare but real
rapesPerPop,ratio,Orangecity,167.69,4.046374789485252,Rare but real
ViolentCrimesPerPop,ratio,EastOrangecity,2941.62,4.046266726079642,Rare but real
autoTheftPerPop,ratio,Springfieldcity,2513.7,4.045549357572206,Rare but real
PctHousNoPhone,percentage,Camdencity,20.8,4.039432054402111,Rare but real
autoTheftPerPop,ratio,WestHollywoodcity,2510.4,4.039004980050413,Rare but real
RentQrange,count,Scituatetown,541.0,4.034840768688476,Rare but real
robbbPerPop,ratio,LosAngelescity,1108.27,4.034747513473887,Rare but real
PersPerFam,ratio,Sandycity,4.1,4.031367789856258,Rare but real
assaultPerPop,ratio,Hendersoncity,2137.43,4.028136547412277,Rare but real
PctWOFullPlumb,percentage,HuntingtonParkcity,2.14,4.024311175512403,Rare but real
robbbPerPop,ratio,Richmondcity,1105.38,4.022417539148655,Rare but real
assaultPerPop,ratio,Homesteadcity,2134.68,4.0218437083305005,Rare but real
PctImmigRec5,percentage,Bellefontainecity,70.26,4.016804257826701,Rare but real
assaults,count,SanDiegocity,8283.0,4.015645929695506,Rare but real
PersPerRentOccHous,ratio,Willingborotownship,3.94,4.015299315279273,Rare but real
PctPopUnderPov,percentage,EaglePasscity,46.12,4.012306934644744,Rare but real
PctHousOccup,percentage,AtlanticCitycity,72.74,4.0070603884575595,Rare but real
murdPerPop,ratio,Jacksoncity,42.54,4.0067351042404855,Rare but real
racepctblack,percentage,EastPointcity,66.34,4.002045706254197,Rare but real
medIncome,monetary,Wiltontown,87686.0,4.001095749863947,Rare but real
robbbPerPop,ratio,JerseyCitycity,1100.38,4.001085403637874,Rare but real
PctPersDenseHous,percentage,Watsonvillecity,26.49,3.9939428560311496,Rare but real
PctImmigRec5,percentage,Athenscity,69.97,3.993431398512887,Rare but real
burglaries,count,Atlantacity,13168.0,3.9908908342722755,Rare but real
PctLargHouseFam,percentage,Rexburgcity,20.52,3.989342227963163,Rare but real
racePctAsian,percentage,GardenGrovecity,20.51,3.9884777974669414,Rare but real
racePctAsian,percentage,RanchoPalosVerdescity,20.51,3.9884777974669414,Rare but real
PctUnemployed,percentage,Weslacocity,17.59,3.9878756220075555,Rare but real
PctHousOccup,percentage,CocoaBeachcity,72.84,3.9872175353155517,Rare but real
larcPerPop,ratio,SouthSaltLakecity,10945.14,3.986334838535951,Rare but real
pctWPubAsst,percentage,Saginawcity,25.53,3.985414870692876,Rare but real
PctPersDenseHous,percentage,Laredocity,26.43,3.983224488324544,Rare but real
racepctblack,percentage,Yeadonborough,66.07,3.9830902766219936,Rare but real
PctImmigRec5,percentage,Amescity,69.81,3.98053602785699,Rare but real
robbbPerPop,ratio,Commercecity,1095.18,3.9788999827066607,Rare but real
burglPerPop,ratio,Greenwoodcity,4067.01,3.977774113128904,Rare but real
PctUsePubTrans,percentage,Pittsburghcity,22.57,3.975903972838447,Rare but real
PctFam2Par,percentage,AtlanticCitycity,32.24,3.9738517220724683,Rare but real
assaultPerPop,ratio,Tampacity,2112.58,3.9712721651642253,Rare but real
arsonsPerPop,ratio,Saginawcity,184.51,3.971171645777868,Rare but real
PctLargHouseFam,percentage,Sandycity,20.44,3.968253261267169,Rare but real
PctHousOccup,percentage,Venicecity,72.94,3.9673746821735465,Rare but real
racepctblack,percentage,Washingtoncity,65.84,3.9669430587871544,Rare but real
PersPerRentOccHous,ratio,HuntingtonParkcity,3.92,3.964242089113443,Rare but real
racePctWhite,percentage,Camdencity,19.0,3.958473413401508,Rare but real
PctVacantBoarded,percentage,Greenwoodcity,16.99,3.9568813047972076,Rare but real
PctImmigRec5,percentage,FortPaynecity,69.49,3.9547452865451955,Rare but real
burglaries,count,Columbuscity,13055.0,3.954544264428729,Rare but real
PctWOFullPlumb,percentage,Laredocity,2.11,3.9539038483050475,Rare but real
racepctblack,percentage,Plainfieldcity,65.65,3.9536040527496783,Rare but real
rapes,count,Milwaukeecity,424.0,3.951747766053437,Rare but real
robbbPerPop,ratio,Homesteadcity,1088.77,3.9515521849818387,Rare but real
ViolentCrimesPerPop,ratio,Greenwoodcity,2885.57,3.9507343832884527,Rare but real
PersPerFam,ratio,Rosemeadcity,4.08,3.9482727167178044,Rare but real
PersPerFam,ratio,Paramountcity,4.08,3.9482727167178044,Rare but real
racePctAsian,percentage,FortLeeborough,20.33,3.9482348501960822,Rare but real
racepctblack,percentage,Berkeleycity,65.57,3.9479876291549507,Rare but real
PctRecentImmig,percentage,Harrisontown,7.39,3.943119075766868,Rare but real
larcenies,count,Tucsoncity,32076.0,3.9426821462777433,Rare but real
racepctblack,percentage,MossPointcity,65.48,3.9416691526108836,Rare but real
autoTheftPerPop,ratio,Montclaircity,2457.56,3.9342156139135773,Rare but real
PctImmigRec5,percentage,StevensPointcity,69.19,3.9305664665653883,Rare but real
PctUnemployed,percentage,Mercedescity,17.42,3.9291529681039763,Rare but real
racePctHisp,percentage,ElCentrocity,65.26,3.9289530483206567,Rare but real
