Êcommunityname,PctPopUnderPov,medIncome,PctUnemployed,PctLess9thGrade,PctNotHSGrad,PctSameHouse85,PctForeignBorn,PctImmigRec5,PctFam2Par,PctKids2Par,racepctblack,racePctWhite,racePctAsian,racePctHisp,PctHousOwnOcc,PctHousNoPhone,PctVacantBoarded,PopDens,MedYrHousBuilt,murdPerPop,robbbPerPop,assaultPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,PctSameCity85,PctSameState85,PctBSorMore,PctEmploy,PctWorkMom
Holmdeltownship,1.77,83975.0,2.67,5.78,12.06,63.83,12.27,4.81,92.7,91.23,0.49,88.19,11.17,2.01,94.58,0.41,6.86,621.3,1974.0,,16.58,66.31,1715.85,49.73,16.58,78.72,88.75,46.78,62.91,53.72
NorthPlainfieldborough,3.66,41875.0,3.76,7.7,16.81,55.52,14.39,17.91,80.07,79.12,5.19,86.08,3.3,12.01,58.79,1.61,0.23,6512.1,1951.0,,154.79,278.62,3699.5,763.63,20.64,67.99,89.49,28.05,70.99,71.01
Beltoncity,6.79,30896.0,5.53,5.32,19.47,42.12,1.73,12.42,78.29,77.08,2.34,95.43,0.77,2.35,68.95,4.93,0.22,1445.1,1971.0,4.79,23.96,124.57,2453.16,162.91,14.37,61.69,81.18,11.63,72.32,72.13
Warrensburgcity,25.93,19672.0,8.12,6.95,16.0,25.01,3.16,49.9,73.49,71.92,7.81,89.39,2.02,1.36,42.32,5.04,1.09,1780.8,1967.0,5.96,71.5,77.45,2073.4,119.16,11.92,41.24,82.88,35.13,52.68,69.22
Richmondcity,20.51,20585.0,8.5,10.63,32.0,48.92,0.82,23.73,64.6,60.35,9.18,89.59,0.6,0.68,58.76,12.47,5.28,2032.8,1949.0,7.66,99.61,30.65,3547.53,224.75,176.23,81.95,86.89,12.96,55.79,68.2
Merrillvilletown,3.55,36221.0,4.15,7.75,19.76,61.74,6.97,2.79,83.38,80.84,5.02,91.71,0.85,6.9,73.61,1.08,0.32,848.2,1967.0,3.58,114.71,301.11,2806.75,1028.78,7.17,88.93,91.1,15.13,61.46,63.74
Yeadonborough,5.47,35951.0,5.26,5.43,19.78,63.09,6.24,27.41,66.24,63.97,66.07,31.89,1.23,0.89,64.0,1.19,1.78,7175.4,1947.0,,198.12,156.84,2988.28,883.28,41.27,74.75,93.72,25.12,64.91,84.99
BellefontaineNeighborscity,3.72,31726.0,5.01,18.74,33.85,71.79,0.75,0.0,81.95,81.5,8.05,91.51,0.29,0.79,92.75,0.31,0.0,2401.5,1956.0,,192.82,146.91,3103.48,505,0,85.04,97.63,11.63,52.1,75.41
Stoningtontown,4.49,39651.0,5.0,7.94,19.73,60.51,5.78,10.22,80.79,79.48,0.58,98.5,0.53,1.3,68.7,1.07,0.88,422.1,1952.0,,41.57,5.94,2137.64,77.19,5.94,83.99,86.59,26.56,64.74,71.59
SanFranciscocity,12.66,33414.0,6.2,11.33,21.98,48.11,33.98,25.76,67.71,61.75,10.92,53.56,29.13,13.91,34.52,2.56,3.94,14962.8,1939.0,17.47,1144.95,598.75,4680.3,1497.35,66.09,72.79,82.98,35.04,63.03,68.6
Covinacity,7.63,38907.0,5.35,5.42,17.52,48.77,15.92,23.11,70.72,66.71,4.11,80.28,7.59,25.56,58.08,1.89,1.21,6041.2,1962.0,22.29,309.8,314.26,2839.5,1252.59,49.03,88.58,92.42,16.37,66.65,68.42
Corvalliscity,20.97,23212.0,5.52,2.4,7.93,29.99,10.17,57.12,76.78,76.44,1.18,89.13,8.05,2.76,43.22,2.45,2.66,3343.1,1967.0,2.12,59.49,121.1,3943.23,161.47,55.24,50.09,74.88,49.01,54.97,67.0
SantaFeSpringscity,10.57,33313.0,8.61,14.36,40.94,59.32,24.01,24.69,71.46,60.6,2.07,56.77,4.87,67.37,64.86,2.75,0.62,1728.3,1958.0,18.33,788.08,1203.49,6157.98,3292.81,42.76,90.86,94.16,7.06,58.33,61.59
Farmingtoncity,3.64,41040.0,4.82,3.84,12.67,58.37,6.84,11.11,83.09,83.42,0.81,97.76,1.22,0.77,63.51,0.9,0.0,3665.7,1964.0,,38.67,87.02,3258.24,77.35,29.01,76.63,93.36,33.71,58.32,60.82
Winslowtownship,7.35,39916.0,5.37,7.98,24.15,53.73,2.43,15.46,79.37,74.56,22.95,74.55,1.13,3.07,81.86,2.16,4.89,503.3,1977.0,3.19,92.5,379.55,1556.47,315.76,35.08,74.05,88.27,17.48,65.48,72.17
Meridentown,7.31,36211.0,5.13,10.96,27.41,56.52,6.02,15.32,71.18,67.76,4.29,89.66,0.7,13.69,60.55,4.01,1.64,2417.9,1957.0,1.76,163.36,158.09,2944.07,526.98,15.81,85.54,91.33,15.85,65.43,72.69
SantaMonicacity,9.35,35997.0,4.81,5.51,12.51,52.78,25.3,18.16,69.12,69.13,4.51,82.8,6.39,14.05,27.51,1.36,6.64,10143.0,1958.0,10.29,818.44,767,7065.29,2004.94,156.6,84.79,88.29,43.39,65.83,65.1
Simsburytown,1.5,64538.0,2.63,2.67,5.48,61.32,6.29,10.47,89.48,88.97,0.84,97.32,1.68,1.15,81.9,0.03,1.13,627.4,1969.0,,9.07,0,1056.88,36.29,18.14,82.25,86.51,56.03,70.55,67.4
Biddefordcity,11.47,28496.0,6.33,19.04,33.06,56.28,4.77,12.56,70.92,69.46,0.3,98.49,0.84,0.48,48.76,4.98,2.28,666.1,1942.0,,44.05,58.73,4282.5,156.62,146.83,84.49,90.74,10.72,62.87,75.46
Oconomowoccity,3.58,34061.0,2.46,6.25,15.88,53.16,1.94,3.76,83.57,83.81,0.04,99.5,0.24,0.64,64.31,0.88,0.64,1832.3,1961.0,,42.12,126.36,2299.72,210.6,8.42,79.32,90.53,21.05,64.11,72.43
PalmBaycity,8.73,30287.0,5.84,5.01,17.89,31.24,7.36,17.5,79.06,75.6,7.49,89.25,1.76,5.29,66.83,2.71,1.32,950.2,1983.0,5.24,60.3,508.61,3303.36,284.46,10.49,60.18,68.13,16.66,63.88,70.36
Greshamcity,8.25,31833.0,4.36,5.03,16.35,44.93,5.11,26.76,76.07,74.5,1.08,93.83,2.75,3.35,58.35,2.58,1.81,2984.9,1974.0,1.25,137.51,138.76,2900.22,848.81,36.25,76.07,87.28,15.89,68.11,71.26
Eriecity,19.3,22032.0,8.85,8.74,27.67,57.84,2.32,10.57,62.32,58.68,12.04,86.05,0.47,2.4,56.58,5.63,6.8,4772.8,1941.0,6.45,392.35,317.75,3003.4,347.22,58.02,89.57,94.0,13.99,54.82,64.13
Provocity,29.56,21162.0,5.85,2.4,10.15,28.99,5.43,53.28,84.56,81.99,0.26,94.07,2.73,4.17,39.91,2.4,2.85,2170.4,1969.0,1.1,19.89,97.22,3191.77,171.24,11.05,52.45,62.09,34.54,56.78,55.42
Lewistoncity,13.95,24051.0,7.5,20.79,36.26,49.91,5.67,3.68,66.51,64.79,0.67,98.16,0.69,0.71,47.03,6.29,4.48,1125.5,1946.0,,128.29,227.18,4786.85,138.98,53.45,84.23,90.9,9.73,59.72,72.83
GrandRapidscity,16.12,26809.0,7.35,8.4,23.55,48.95,3.94,25.08,62.73,60.07,18.54,76.39,1.14,4.97,59.9,6.65,5.82,4124.7,1947.0,17.24,433,936.5,4610.43,561.48,41.26,82.55,91.55,20.85,60.88,68.28
VanWertcity,8.92,25324.0,5.73,7.33,23.31,58.45,0.44,0.0,77.96,75.89,1.46,96.5,0.39,2.45,71.86,6.04,1.73,2102.0,1948.0,,0,329.4,3484.74,277.39,78.02,85.61,92.78,12.04,60.93,76.99
NortonShorescity,7.23,33646.0,5.11,6.19,19.16,63.41,2.38,5.8,83.22,81.64,1.37,96.59,0.71,1.72,87.29,1.76,1.42,903.4,1962.0,,40.57,76.63,2497.3,171.29,13.52,88.87,95.59,20.49,61.85,70.46
Ithacacity,39.35,17738.0,4.9,4.78,13.3,21.2,11.46,45.08,59.38,56.59,6.49,81.8,10.01,3.62,28.89,4.43,0.44,5228.9,1939.0,,198.71,113.06,5666.71,113.06,10.28,38.32,63.28,50.16,48.52,66.35
Jacksonvillecity,11.89,25698.0,6.6,4.7,15.5,35.75,4.22,23.03,74.28,70.83,26.68,67.65,3.01,5.23,48.65,6.79,3.47,2229.1,1971.0,5.16,173.81,311.47,3944.18,254.68,13.77,57.76,61.92,18.17,66.42,65.71
Vermilioncity,8.54,37500.0,4.74,5.48,19.1,60.13,2.63,9.9,83.28,79.61,0.08,99.14,0.24,1.33,73.33,1.59,1.27,1004.2,1963.0,,8.76,35.04,2172.39,96.36,0,77.82,93.61,16.87,64.3,70.04
PembrokePinescity,5.08,36431.0,3.51,5.08,18.2,41.18,14.96,13.61,80.41,78.9,5.26,91.28,1.99,11.51,76.79,0.33,0.18,1977.9,1981.0,,124.48,167.99,3858.98,589.79,13.29,62.37,79.51,20.9,60.67,75.74
Westervillecity,2.75,48137.0,2.55,2.36,8.46,47.14,1.59,16.85,84.47,85.03,1.72,96.87,1.13,0.71,75.8,0.95,0.33,3417.4,1975.0,,48.59,40.02,2529.58,65.74,48.59,78.37,88.6,40.16,70.92,71.29
NorthAdamscity,14.33,22100.0,9.86,17.15,31.84,53.72,3.42,6.1,64.62,62.77,1.3,97.48,0.54,1.18,50.62,5.03,2.32,793.1,1939.0,,12.85,545.96,2607.75,128.46,0,84.08,92.56,12.11,54.48,74.1
Wallingtonborough,5.18,32332.0,8.03,14.73,30.42,65.09,24.05,25.04,79.6,76.86,2.71,93.43,2.62,4.39,41.52,1.18,0.0,10395.5,1956.0,,28.46,18.97,1906.84,483.83,37.95,84.68,92.6,15.79,62.41,68.54
Mequoncity,2.14,60900.0,2.84,3.73,7.47,55.38,3.32,9.87,91.96,91.33,2.31,96.22,1.26,0.74,91.39,0.0,1.37,394.7,1970.0,,0,9.24,974.55,78.52,9.24,66.31,87.48,48.85,67.25,63.13
Cumberlandcity,26.39,16442.0,10.56,13.84,31.86,56.31,1.11,6.82,60.6,58.28,4.42,94.79,0.54,0.45,55.37,6.16,4.21,2763.5,1939.0,,62.31,1038.55,3880.03,211.86,0,88.15,91.15,10.81,44.54,59.62
CottageGrovecity,2.63,46027.0,4.23,1.67,7.65,60.94,1.45,14.76,87.46,85.75,1.16,96.55,1.14,1.84,93.48,0.31,1.61,651.7,1973.0,,59.08,125.55,2326.35,73.85,3.69,76.8,93.48,19.13,77.74,78.57
Berkeleycity,15.65,26372.0,11.85,10.79,28.95,60.99,0.94,24.79,51.38,45.28,65.57,33.57,0.39,0.65,70.58,2.41,23.71,2435.4,1956.0,23.43,437.33,351.43,2545.88,944.94,31.24,79.36,94.95,8.19,62.07,80.4
Kingstoncity,11.76,29133.0,5.58,13.12,30.85,55.04,4.91,13.68,61.98,58.31,10.11,87.39,1.4,2.73,49.71,5.18,6.62,3021.3,1939.0,,94.11,196.77,3888.44,243.83,?,86.52,93.08,18.58,59.07,67.26
Denvercity,17.13,25106.0,6.77,7.68,20.8,46.26,7.42,26.73,62.31,58.02,12.84,72.11,2.35,22.96,49.19,5.49,6.41,2944.6,1957.0,14.63,368.3,577.65,3530.34,1494.14,86.98,74.78,86.57,29.05,62.99,69.26
GalenaParkcity,19.42,24103.0,8.29,25.45,46.07,52.7,19.13,19.07,79.8,73.99,10.16,63.76,0.23,46.62,70.47,8.61,8.19,1941.4,1954.0,,67.22,412.91,1478.78,307.28,9.6,89.44,93.97,3.49,54.32,53.16
Leicestertown,4.1,40321.0,5.55,6.53,21.5,64.02,2.98,35.2,82.96,81.18,0.8,97.85,0.62,1.25,74.73,0.0,3.51,421.0,1957.0,9.42,9.42,292.01,941.97,9.42,0,90.75,93.73,18.84,67.85,76.91
Moorecity,7.95,32984.0,4.53,4.19,17.79,47.81,2.17,10.07,79.29,76.79,1.78,90.19,1.28,3.36,74.09,3.81,4.06,1810.6,1974.0,,42,233.35,2522.52,364.03,18.67,67.72,90.9,13.91,72.49,73.49
Alamedacity,6.81,38122.0,3.53,4.09,11.89,40.05,17.23,21.36,71.07,70.29,6.72,69.91,19.25,9.09,46.28,1.41,0.69,6865.9,1955.0,1.26,302.28,263.07,4145.85,605.82,58.18,64.3,77.54,31.26,71.08,71.77
BeaverDamcity,7.18,25976.0,4.22,12.31,23.96,54.6,1.05,8.72,78.36,77.74,0.13,98.56,0.56,1.18,63.28,1.69,0.0,2880.2,1947.0,,0,234.21,4871.52,80.3,6.69,84.95,94.4,14.68,62.42,76.65
Wallingfordtown,3.1,42783.0,4.45,8.19,19.84,61.42,5.97,19.01,83.83,82.53,1.01,97.13,0.92,3.22,71.93,1.01,1.3,1009.8,1959.0,2.42,31.45,41.13,2020.13,300,31.45,90.67,93.96,22.48,68.29,75.33
Fairfieldcity,3.77,38531.0,3.66,5.1,14.85,43.62,1.94,24.09,81.13,80.37,3.29,94.96,1.41,0.73,63.97,1.22,0.0,1840.1,1976.0,4.87,58.43,394.43,3462.21,282.43,21.91,66.7,86.2,25.9,71.72,73.0
Millbraecity,5.4,45999.0,3.19,6.32,15.9,59.1,26.27,23.42,79.05,77.17,1.15,78.25,16.89,11.17,64.12,0.38,0.44,6133.4,1957.0,4.77,128.74,138.27,1759.4,314.69,14.3,79.96,90.48,24.29,60.09,63.9
BossierCitycity,15.96,25918.0,7.25,5.73,18.56,45.07,2.54,12.03,71.91,66.83,18.06,79.32,1.51,2.63,57.38,5.77,18.29,1338.2,1968.0,16.44,136.96,882.05,4656.77,392.63,32.87,66.56,80.74,15.87,63.81,70.01
Brainerdcity,21.03,17985.0,8.38,14.38,26.87,47.17,0.91,0.89,62.29,62.04,0.32,97.8,0.4,0.52,55.38,6.43,2.8,1732.1,1953.0,,36.6,124.45,5673.5,468.52,21.96,78.03,92.1,13.79,53.41,74.21
Lancastercity,20.93,22210.0,6.47,15.0,38.62,45.03,4.14,18.43,54.51,46.91,12.24,70.87,1.96,20.56,47.2,7.75,5.47,7270.3,1939.0,19.03,472.19,306.14,4815.28,541.37,51.89,82.26,88.01,13.47,59.68,62.08
LakeCharlescity,23.57,21225.0,10.56,15.01,30.58,55.31,0.9,17.03,62.74,57.01,41.64,57.3,0.53,1.15,58.4,6.39,6.17,2123.3,1961.0,16.47,226.41,605.13,4023.22,430.86,19.21,87.04,93.12,18.36,52.17,61.62
Ashlandtown,1.92,51173.0,5.21,3.23,10.6,55.14,6.7,14.59,82.36,80.32,1.9,95.3,2.06,1.97,74.0,0.59,1.4,935.8,1970.0,,8,343.81,559.69,15.99,0,81.86,89.64,36.21,74.57,71.8
Richlandtownship,7.54,27154.0,5.82,8.81,21.41,63.21,1.75,24.77,84.55,83.13,1.11,97.96,0.8,0.33,75.64,1.4,1.64,631.1,1964.0,,0,508.01,1679.25,105.84,21.17,81.87,95.98,17.87,46.17,67.22
Arcadiacity,5.23,47347.0,3.63,4.69,11.12,52.33,27.6,33.32,80.37,79.64,0.77,71.48,23.45,10.66,61.57,0.42,2.92,4284.1,1957.0,3.93,188.58,198.4,2854.17,644.3,41.25,82.72,86.27,36.39,60.14,59.63
Miltontown,3.04,53130.0,4.52,2.43,7.96,69.44,7.5,9.9,86.06,86.33,4.72,93.76,1.2,1.01,82.51,0.11,1.18,1904.3,1939.0,,56.61,132.09,932.18,181.15,0,81.09,94.86,43.13,61.75,73.99
Wilsoncity,23.52,21881.0,8.28,16.94,36.9,46.94,0.86,32.91,54.55,49.05,46.92,52.36,0.31,0.7,49.32,9.5,7.81,1925.8,1968.0,20.24,470.48,910.61,6816.92,672.84,37.94,83.41,92.29,18.39,57.8,72.94
HighlandParkcity,2.83,71905.0,2.08,3.64,7.67,63.01,10.92,15.69,88.55,88.01,2.57,93.7,2.36,4.7,80.39,0.69,0.73,2449.9,1956.0,,22.81,13.03,1368.61,110.79,3.26,74.92,89.74,55.91,69.8,64.84
Indiocity,21.24,25976.0,9.83,30.07,48.01,42.86,31.05,34.09,70.16,64.08,4.03,54.48,1.6,68.13,49.04,7.05,6.53,2084.8,1975.0,32.78,363.15,476.63,4214.06,1177.72,25.22,74.85,85.82,9.2,59.1,64.36
Frederickcity,7.96,34891.0,3.17,8.66,22.1,38.81,3.27,40.55,71.07,68.27,12.83,84.25,1.93,2.11,45.5,5.17,1.28,2130.4,1972.0,6.39,187.37,981.58,3379.11,319.39,40.46,67.42,77.92,24.05,70.74,74.01
MercerIslandcity,2.3,61572.0,3.24,0.77,3.24,55.15,10.41,24.05,83.51,84.22,1.44,89.99,8.04,1.44,78.66,0.2,0.32,3148.2,1964.0,,28.18,61.06,1470.1,89.24,32.88,78.95,82.66,60.32,61.62,56.84
ForestParkcity,5.55,37050.0,5.23,3.77,14.96,55.61,2.05,20.47,75.53,71.39,43.71,54.35,1.38,0.91,65.67,0.86,0.28,2834.7,1969.0,5.27,195.03,73.8,5413.53,142.32,47.44,82.89,90.25,24.11,71.49,80.68
Logancity,21.65,21312.0,6.84,2.94,9.64,33.84,7.82,61.69,85.02,85.0,0.59,91.36,5.11,3.13,43.24,5.11,0.25,2238.5,1965.0,2.71,13.55,48.79,3149.82,81.32,2.71,56.86,73.3,36.83,62.38,68.12
RockvilleCentrevillage,3.32,55476.0,3.63,5.43,12.32,73.38,6.95,9.72,85.93,85.32,3.91,93.76,1.11,5.69,68.27,0.41,0.91,7276.1,1942.0,,111.92,71.95,1810.77,431.71,?,91.42,97.47,43.95,62.03,63.61
Mankatocity,25.16,22476.0,5.3,6.35,15.13,35.35,3.35,45.12,73.28,73.72,0.69,96.26,2.27,1.05,51.45,2.01,1.71,2685.8,1960.0,,28.39,82.02,5558.53,340.7,9.46,55.95,88.12,29.17,63.92,74.17
NewportNewscity,14.04,27469.0,5.93,6.89,20.66,41.39,4.08,21.49,68.16,64.41,33.57,62.58,2.33,2.77,50.03,7.26,3.83,2401.8,1969.0,12.16,39.24,737.3,4016.47,378.05,34.82,62.84,75.27,18.44,65.93,66.56
AlexanderCitycity,17.07,20970.0,4.75,16.55,39.6,58.85,0.33,44.9,67.29,60.3,28.05,71.62,0.18,0.12,64.84,9.17,2.35,370.6,1966.0,26.29,72.29,236.59,506.05,26.29,0,87.2,94.33,14.21,58.71,79.86
Cranfordtownship,2.51,54469.0,2.57,4.38,12.62,70.01,7.63,8.34,86.62,85.12,3.04,95.25,1.46,2.4,81.91,0.58,0.86,4533.9,1946.0,,25.84,68.9,1881.76,193.77,4.31,86.05,92.79,33.75,67.99,70.47
Banningcity,16.86,22514.0,10.81,13.25,36.72,41.35,13.98,28.31,65.94,62.07,9.5,69.05,7.39,23.22,65.46,6.94,3.07,1077.0,1968.0,21.21,237.6,602.49,3020.92,844.33,377.61,68.15,90.3,9.8,42.67,55.76
LosBanoscity,19.4,24649.0,10.21,18.32,36.97,51.15,16.73,16.8,69.37,64.97,2.69,70.79,1.87,35.94,60.12,6.2,0.34,2007.6,1969.0,,105.4,1519.94,4398.96,404.95,0,76.42,92.99,12.11,54.9,61.89
Glasgowcity,24.71,17805.0,9.08,31.54,46.73,51.99,0.28,0.0,69.57,65.89,8.69,90.79,0.32,0.28,58.29,10.61,1.05,1131.9,1963.0,15.53,0,46.6,419.42,31.07,0,87.78,95.53,10.51,48.33,62.94
Laurinburgcity,29.39,16496.0,12.39,19.14,40.41,51.69,1.26,36.73,46.92,38.36,45.0,50.05,0.41,0.67,52.18,12.68,1.4,1493.5,1969.0,7.49,209.85,659.52,5516,337.26,104.92,82.1,88.52,15.11,48.43,69.87
Portalescity,34.98,16162.0,9.67,18.62,38.26,41.52,6.56,34.81,65.47,60.66,1.84,73.12,0.84,33.32,57.2,16.74,1.96,2066.9,1961.0,23.98,15.99,215.83,1822.54,87.93,0,64.66,82.22,21.1,51.75,58.88
Romuluscity,12.94,31723.0,9.6,9.34,30.67,59.29,2.0,5.03,65.89,62.21,21.83,76.28,0.66,1.9,64.5,4.36,7.12,615.4,1964.0,12.98,216.25,640.11,4960.86,1829.51,47.58,90.73,95.1,5.88,60.9,61.18
Beniciacity,5.43,49660.0,4.19,2.81,9.59,41.99,9.29,17.17,77.42,76.13,5.32,84.02,7.95,7.4,70.13,1.38,1.06,1844.6,1978.0,,77.32,154.63,2227.46,298.22,22.09,63.73,88.06,32.62,71.26,70.45
Medfordtownship,2.3,59834.0,4.36,3.35,9.61,61.42,3.46,7.45,88.78,88.01,0.42,98.11,1.14,0.97,81.31,0.47,1.49,503.9,1974.0,9.52,23.8,66.63,1489.7,52.35,14.28,79.86,89.29,40.97,65.98,62.67
MineralWellscity,23.17,19456.0,9.68,15.47,37.38,49.07,4.28,19.06,71.73,64.87,5.14,86.58,1.02,12.31,65.69,15.77,5.67,705.5,1962.0,6.7,20.1,582.95,2988.47,308.23,167.52,79.16,93.38,11.25,49.91,62.07
Alhambracity,14.75,31368.0,6.05,14.56,27.91,41.72,46.91,28.82,71.03,67.3,2.0,40.85,38.14,36.08,40.59,2.02,2.93,10393.2,1955.0,3.54,366.59,152.06,2027.47,941.83,38.9,79.52,83.52,22.92,59.34,62.64
NewAlbanycity,15.48,23933.0,6.96,13.67,31.74,53.72,0.97,23.36,63.66,59.35,6.2,93.17,0.26,0.49,59.32,8.35,1.33,2625.2,1955.0,2.61,54.89,1186.74,3677.85,303.22,91.49,80.0,89.5,12.92,58.25,70.64
Annapoliscity,12.12,35516.0,5.37,6.94,19.83,47.02,3.66,20.49,54.67,47.6,33.04,64.94,1.34,1.46,47.76,4.62,14.95,5063.6,1965.0,11.29,567.46,776.38,4401.34,403.72,211.74,78.1,83.77,32.79,68.93,76.75
Whitewatercity,32.74,19635.0,4.36,8.13,17.41,31.75,3.09,38.54,75.5,76.55,1.92,95.28,1.7,1.9,36.6,0.87,2.56,2566.9,1961.0,,14.51,65.32,2213.51,72.57,21.77,43.86,92.55,36.12,58.45,78.64
Greercity,19.85,18049.0,6.47,26.95,52.39,56.9,0.51,33.96,58.64,53.15,26.53,72.89,0.15,0.78,56.17,15.46,2.03,2003.5,1958.0,16.62,299.15,988.86,4113.35,274.22,0,77.81,92.14,9.22,54.86,65.8
Millburntownship,1.94,83275.0,2.25,3.17,7.27,66.9,13.3,17.12,89.7,89.53,1.2,93.59,4.94,1.67,81.76,0.17,1.51,1915.8,1947.0,,74.04,37.02,2321.65,692.79,0,80.27,85.71,60.94,62.44,55.46
Warwickcity,4.84,35786.0,5.44,6.04,22.18,65.58,4.23,7.92,81.43,79.06,0.79,97.97,0.83,0.99,74.41,0.95,2.23,2322.5,1958.0,3.5,40.83,359.35,2851.44,742.03,56,82.04,93.2,21.26,63.59,72.52
Pepperelltown,3.98,44492.0,5.47,3.87,12.3,55.6,4.73,18.2,85.76,84.25,0.79,98.28,0.68,0.98,74.68,1.15,0.0,432.1,1973.0,9.55,0,200.63,1136.91,57.32,0,84.31,89.81,30.6,71.49,69.56
EastBrunswicktownship,2.27,58769.0,3.86,4.17,11.99,62.42,13.99,19.37,89.38,87.69,2.23,88.14,9.06,2.86,84.3,0.23,1.05,1910.5,1968.0,,39.67,88.16,2613.89,222.6,15.43,78.8,85.19,40.94,70.02,67.74
FortSmithcity,13.8,23835.0,5.61,9.81,26.71,48.19,4.13,27.51,74.27,71.7,7.68,86.25,4.09,1.42,59.16,10.03,1.2,1504.0,1964.0,5.3,82.21,515.77,5245.22,518.42,30.5,75.69,83.69,16.74,61.01,69.15
Bostoncity,18.71,29180.0,8.32,10.34,24.3,47.82,19.95,33.9,52.51,48.77,25.59,62.84,5.29,10.79,30.88,3.36,6.94,11447.7,1939.0,17.8,741.04,1122.9,4501.24,2166.64,?,71.68,79.69,30.0,60.86,62.98
SouthMilwaukeecity,5.01,31998.0,4.6,7.7,20.6,61.91,3.3,4.34,76.56,76.41,0.32,98.08,0.54,1.88,61.14,1.93,0.48,4233.9,1955.0,,39.28,58.91,3294.22,122.74,88.37,91.36,95.41,14.81,63.44,74.87
Glastonburytown,2.35,57464.0,2.84,3.27,9.41,58.73,6.81,16.89,86.12,86.01,0.93,95.98,2.43,2.01,78.69,0.36,0.76,524.3,1968.0,,3.58,35.8,1521.44,53.7,3.58,83.46,88.9,46.21,69.97,70.71
Midvalecity,20.7,21183.0,7.12,8.54,26.28,41.09,7.82,30.65,62.31,61.02,0.39,87.04,3.87,15.3,40.5,7.58,3.8,3346.3,1969.0,,129.5,299.47,7381.63,412.79,40.47,79.34,86.86,13.24,63.96,65.88
Bloomingtoncity,31.46,18393.0,6.83,4.65,13.51,23.52,6.79,54.9,67.48,65.3,4.03,91.16,4.04,1.64,34.2,3.7,1.15,3871.8,1967.0,,15.84,768.45,2847.23,253.51,7.92,42.67,71.02,47.94,50.86,67.09
MountainViewcity,6.22,42431.0,3.17,6.41,13.37,35.18,23.03,38.3,72.73,70.62,5.03,72.73,14.72,16.04,37.75,1.05,0.8,5410.7,1966.0,3.02,116.41,276.67,4671.7,527.64,31.75,60.58,78.07,40.75,75.75,71.9
Allencity,3.09,47869.0,3.09,1.8,6.27,37.73,2.78,20.43,87.51,86.47,3.25,93.18,1.17,4.37,74.76,1.93,2.53,930.3,1981.0,,3.61,?,1794.29,137.19,10.83,57.58,83.89,31.9,81.09,75.01
Madisoncity,16.05,29420.0,3.52,3.84,9.38,38.27,5.7,47.14,73.9,72.82,4.24,90.72,3.91,2.03,46.96,1.74,0.97,3196.2,1962.0,1.02,161.1,109.1,3806.15,465.45,28.55,68.18,82.66,41.98,68.16,78.05
Athenscity,21.95,18870.0,9.0,17.88,34.91,45.79,5.19,51.32,66.67,62.95,19.72,72.71,0.43,8.37,58.94,14.51,3.64,768.4,1970.0,8.85,17.7,1256.64,3053.1,238.94,8.85,71.11,91.32,15.65,52.6,66.91
LincolnParkcity,8.53,30638.0,7.78,10.39,32.44,64.78,3.97,3.68,74.68,72.53,0.92,97.32,0.43,3.8,78.45,1.94,1.19,6903.0,1953.0,12.29,164.72,309.77,3483.71,813.77,34.42,93.89,96.19,6.77,57.41,64.36
Somersworthcity,6.75,32886.0,5.32,12.0,25.29,46.85,3.81,10.26,72.88,71.17,0.73,97.5,1.09,0.91,58.28,5.12,1.74,1110.1,1962.0,,8.9,35.61,2341.32,106.83,35.61,73.9,82.01,13.57,69.64,77.15
Ypsilanticity,29.47,21219.0,7.5,5.8,17.84,32.43,7.15,55.43,55.26,51.21,25.13,69.39,4.32,1.92,33.69,4.9,7.53,5501.8,1954.0,16.85,463.39,1133.2,3509.14,589.77,92.68,53.88,85.21,34.17,63.97,67.1
HazelCrestvillage,7.73,40369.0,9.73,3.58,14.64,54.95,3.0,9.0,70.14,64.68,51.51,45.9,1.18,3.01,80.92,2.35,0.26,3814.1,1968.0,,196.35,370.88,2523.45,1025.38,0,92.8,94.7,19.89,66.41,82.11
Braintreetown,4.1,44734.0,6.7,3.72,12.43,73.34,6.62,7.63,81.9,80.44,0.6,97.42,1.56,0.87,76.68,0.32,2.55,2351.7,1952.0,,63.12,352.89,2191.94,766.03,14.35,89.3,96.85,23.41,61.7,67.91
Dovercity,7.46,27688.0,6.74,8.55,21.93,60.16,1.78,0.0,78.63,77.33,1.37,98.07,0.38,0.23,73.07,4.66,2.03,2301.7,1949.0,,24.87,33.16,2893.62,116.08,0,89.8,95.45,14.26,54.27,67.84
CollegeParkcity,23.37,22194.0,8.29,9.18,25.0,33.88,6.41,36.98,43.05,39.39,74.45,21.07,3.24,1.98,22.24,9.51,3.03,2035.9,1968.0,34.88,880.79,841.55,8480.86,3130.72,0,65.55,78.39,17.15,68.81,77.55
Elizabethcity,16.12,27631.0,9.91,20.43,41.52,55.21,36.9,25.69,63.73,57.18,19.85,65.54,2.73,39.14,31.7,8.53,4.74,8617.3,1946.0,15.91,821.72,434.26,3797.88,2016.86,21.53,80.06,86.54,11.46,59.6,65.04
